,date,time,retweet_count,neg,neu,pos,cmpd,IsTradingDay,is_retweet,numTweets,EMA5,EMA10,EMA20,Output
0,2019-11-12,3.1269444444444443,10890.0,0.0,0.516,0.484,0.8172,1,False,3,311.0181703536799,309.5772268427913,306.8534875516324,-1.0
1,2019-11-12,1.5658333333333334,7526.0,0.043,0.76,0.19699999999999998,0.7959,1,False,3,311.0181703536799,309.5772268427913,306.8534875516324,-1.0
2,2019-11-12,0.9536111111111112,19939.0,0.336,0.583,0.081,-0.9075,1,False,3,311.0181703536799,309.5772268427913,306.8534875516324,-1.0
3,2019-11-11,23.97083333333333,10569.0,0.10800000000000001,0.48700000000000004,0.405,0.6696,1,False,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
4,2019-11-11,23.97055555555556,15674.0,0.0,1.0,0.0,0.0,1,False,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
5,2019-11-11,23.714722222222218,16754.0,0.0,0.897,0.10300000000000001,0.3939,1,False,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
6,2019-11-11,23.589444444444453,32169.0,0.0,0.893,0.107,0.5697,1,False,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
7,2019-11-11,23.406666666666666,20159.0,0.0,0.8590000000000001,0.141,0.4199,1,False,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
8,2019-11-11,23.30833333333333,24198.0,0.361,0.51,0.129,-0.8607,1,False,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
9,2019-11-11,22.169166666666666,18781.0,0.0,0.514,0.486,0.6932,1,False,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
10,2019-11-11,20.675,7092.0,0.09300000000000001,0.467,0.439,0.8635,1,True,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
11,2019-11-11,20.665277777777774,13327.0,0.0,1.0,0.0,0.0,1,False,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
12,2019-11-11,20.628055555555555,7632.0,0.133,0.867,0.0,-0.3818,1,True,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
13,2019-11-11,20.619722222222226,8794.0,0.0,0.8540000000000001,0.146,0.34,1,True,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
14,2019-11-11,20.44388888888889,23976.0,0.0,1.0,0.0,0.0,1,False,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
15,2019-11-11,19.480277777777783,22222.0,0.033,0.7959999999999999,0.171,0.8398,1,False,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
16,2019-11-11,19.268888888888892,2889.0,0.0,0.6609999999999999,0.33899999999999997,0.8271,1,True,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
17,2019-11-11,17.813333333333333,11465.0,0.075,0.614,0.311,0.7845,1,True,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
18,2019-11-11,17.804722222222217,10549.0,0.0,0.6609999999999999,0.33899999999999997,0.8271,1,True,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
19,2019-11-11,17.802222222222227,7360.0,0.0,0.833,0.16699999999999998,0.4215,1,True,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
20,2019-11-11,14.427222222222223,13758.0,0.071,0.7070000000000001,0.223,0.8115,1,False,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
21,2019-11-11,14.341111111111115,25555.0,0.066,0.934,0.0,-0.4912,1,False,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
22,2019-11-11,14.2,19428.0,0.212,0.7879999999999999,0.0,-0.8436,1,False,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
23,2019-11-11,14.165833333333332,14756.0,0.182,0.6629999999999999,0.156,0.2521,1,False,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
24,2019-11-11,14.011111111111115,13429.0,0.038,0.7879999999999999,0.17300000000000001,0.7177,1,False,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
25,2019-11-11,13.358055555555556,9973.0,0.0,0.7140000000000001,0.28600000000000003,0.6369,1,True,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
26,2019-11-11,2.5116666666666667,13754.0,0.0,1.0,0.0,0.0,1,True,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
27,2019-11-11,2.505,27426.0,0.0,1.0,0.0,0.0,1,True,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
28,2019-11-11,2.4286111111111106,12262.0,0.13699999999999998,0.716,0.147,0.1278,1,False,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
29,2019-11-11,2.4191666666666665,18747.0,0.13,0.805,0.065,-0.5938,1,False,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
30,2019-11-11,1.8544444444444443,31846.0,0.0,0.858,0.142,0.54,1,True,32,310.5622555305199,309.0543883634116,306.31911782022524,1.0
