,time,day,y_test,y_predicted
0,3.1269444444444443,1098,1,-1
1,1.5658333333333334,1098,1,-1
2,0.9536111111111112,1098,1,-1
3,23.97083333333333,1097,1,-1
4,23.97055555555556,1097,1,1
5,23.71472222222221,1097,1,1
6,23.589444444444453,1097,1,1
7,23.406666666666666,1097,1,1
8,23.30833333333333,1097,1,-1
9,22.169166666666666,1097,1,1
10,20.675,1097,1,-1
11,20.665277777777774,1097,1,1
12,20.628055555555555,1097,1,1
13,20.619722222222226,1097,1,1
14,20.44388888888889,1097,1,1
15,19.480277777777786,1097,1,1
16,19.268888888888885,1097,1,-1
17,17.813333333333333,1097,1,-1
18,17.804722222222214,1097,1,-1
19,17.802222222222227,1097,1,-1
20,14.427222222222225,1097,1,-1
21,14.341111111111116,1097,1,1
22,14.2,1097,1,1
23,14.165833333333332,1097,1,-1
24,14.011111111111116,1097,1,1
25,13.358055555555556,1097,1,-1
26,2.5116666666666667,1097,1,1
27,2.505,1097,1,1
28,2.4286111111111106,1097,1,1
29,2.4191666666666665,1097,1,1
30,1.8544444444444443,1097,1,1
31,1.7338888888888888,1097,1,1
32,1.7311111111111108,1097,1,1
33,1.5097222222222222,1097,1,1
34,1.4958333333333331,1097,1,1
35,23.047777777777767,1096,-1,1
36,19.725277777777773,1096,-1,1
37,19.104166666666668,1096,-1,1
38,18.97055555555556,1096,-1,1
39,17.365,1096,-1,-1
40,16.21,1096,-1,1
41,16.125833333333333,1096,-1,1
42,16.123055555555556,1096,-1,1
43,3.986111111111111,1096,-1,1
44,3.9475,1096,-1,1
45,3.820555555555557,1096,-1,1
46,2.4725,1096,-1,1
47,2.460555555555556,1096,-1,1
48,2.4563888888888887,1096,-1,1
49,2.4541666666666666,1096,-1,1
50,2.450277777777778,1096,-1,1
51,2.4488888888888893,1096,-1,1
52,2.4438888888888894,1096,-1,-1
53,2.4394444444444443,1096,-1,1
54,2.2841666666666667,1096,-1,1
55,2.2186111111111098,1096,-1,-1
56,2.205833333333333,1096,-1,-1
57,2.2047222222222222,1096,-1,1
58,2.2038888888888892,1096,-1,1
59,2.1758333333333333,1096,-1,1
60,1.9447222222222225,1096,-1,1
61,1.8294444444444444,1096,-1,1
62,1.823888888888889,1096,-1,1
63,1.8147222222222217,1096,-1,1
64,1.8088888888888888,1096,-1,1
65,1.804722222222222,1096,-1,1
66,1.768333333333333,1096,-1,1
67,1.7244444444444444,1096,-1,1
68,1.6444444444444444,1096,-1,1
69,1.4530555555555555,1096,-1,1
70,1.3783333333333334,1096,-1,1
71,1.2172222222222222,1096,-1,1
72,0.78,1096,-1,1
73,0.7669444444444444,1096,-1,-1
74,0.7191666666666666,1096,-1,1
75,0.6702777777777778,1096,-1,1
76,0.2938888888888889,1096,-1,1
77,0.26472222222222225,1096,-1,1
78,0.20416666666666666,1096,-1,1
79,0.04055555555555555,1096,-1,1
80,19.51944444444445,1095,1,1
81,19.427777777777774,1095,1,1
82,18.8725,1095,1,1
83,17.818333333333328,1095,1,-1
84,16.252222222222226,1095,1,-1
85,15.743333333333334,1095,1,1
86,15.622222222222225,1095,1,1
87,12.124444444444444,1095,1,1
88,12.097222222222221,1095,1,1
89,12.066666666666665,1095,1,1
90,12.058611111111107,1095,1,1
91,12.044166666666667,1095,1,1
92,12.035277777777774,1095,1,1
93,11.991388888888887,1095,1,-1
94,11.971666666666666,1095,1,1
95,11.9425,1095,1,1
96,11.930833333333334,1095,1,1
97,11.926111111111116,1095,1,1
98,11.921111111111117,1095,1,1
99,11.916944444444445,1095,1,1
100,11.913611111111116,1095,1,1
101,11.908888888888884,1095,1,1
102,11.903055555555556,1095,1,1
103,11.8975,1095,1,1
104,11.891388888888883,1095,1,1
105,11.875555555555556,1095,1,1
106,11.868333333333334,1095,1,1
107,11.852222222222226,1095,1,1
108,11.846944444444444,1095,1,1
109,11.819166666666666,1095,1,1
110,11.811388888888883,1095,1,1
111,11.791666666666664,1095,1,1
112,11.778611111111116,1095,1,1
113,11.740555555555556,1095,1,1
114,11.689166666666667,1095,1,1
115,4.977222222222221,1095,1,1
116,1.2433333333333334,1095,1,1
117,1.2308333333333332,1095,1,1
118,1.1219444444444444,1095,1,1
119,1.08,1095,1,1
120,21.875277777777786,1094,1,1
121,21.87444444444445,1094,1,-1
122,17.326944444444443,1094,1,-1
123,0.1375,1094,1,1
124,15.724722222222226,1093,-1,-1
125,15.698055555555555,1093,-1,1
126,15.465833333333334,1093,-1,1
127,15.270833333333336,1093,-1,1
128,14.860555555555555,1093,-1,1
129,14.009444444444444,1093,-1,1
130,13.799166666666665,1093,-1,1
131,13.775,1093,-1,1
132,12.478055555555557,1093,-1,-1
133,6.829444444444442,1093,-1,-1
134,5.251388888888889,1093,-1,1
135,5.246111111111111,1093,-1,1
136,5.144722222222223,1093,-1,1
137,5.1444444444444475,1093,-1,1
138,5.1113888888888885,1093,-1,1
139,3.613611111111111,1093,-1,-1
140,3.413611111111111,1093,-1,-1
141,23.94611111111111,1092,1,-1
142,23.45,1092,1,1
143,22.78305555555556,1092,1,-1
144,21.90055555555556,1092,1,-1
145,20.266111111111115,1092,1,1
146,20.266111111111115,1092,1,1
147,19.17361111111111,1092,1,-1
148,13.501666666666667,1092,1,-1
149,13.296388888888883,1092,1,1
150,13.104166666666664,1092,1,-1
151,12.862222222222226,1092,1,-1
152,5.313611111111111,1092,1,-1
153,5.251666666666667,1092,1,-1
154,4.937222222222221,1092,1,-1
155,4.8533333333333335,1092,1,-1
156,4.630277777777779,1092,1,-1
157,2.931111111111111,1092,1,1
158,2.92,1092,1,-1
159,2.9144444444444444,1092,1,-1
160,2.9077777777777776,1092,1,1
161,2.6452777777777783,1092,1,1
162,1.0458333333333334,1092,1,-1
163,20.702777777777786,1091,1,1
164,18.968611111111112,1091,1,-1
165,18.934166666666666,1091,1,-1
166,17.329444444444444,1091,1,1
167,17.261666666666667,1091,1,-1
168,17.003888888888888,1091,1,-1
169,14.09,1091,1,1
170,13.984166666666667,1091,1,1
171,13.791944444444445,1091,1,1
172,13.476944444444444,1091,1,-1
173,13.423055555555555,1091,1,-1
174,13.420277777777779,1091,1,-1
175,12.973333333333333,1091,1,-1
176,12.787222222222226,1091,1,-1
177,12.531388888888893,1091,1,-1
178,12.529444444444444,1091,1,1
179,12.506111111111107,1091,1,-1
180,12.503333333333336,1091,1,1
181,12.5,1091,1,1
182,12.494722222222226,1091,1,1
183,12.488888888888884,1091,1,1
184,12.485555555555555,1091,1,1
185,12.475555555555555,1091,1,1
