,date,retweet_count,cmpd,price,num_tweets
0,2016-11-09,220796.0,0.4926,1.0132637043391362,1.0
1,2016-11-10,45576.0,0.795,0.9968994167613674,1.0
2,2016-11-11,48741.8,0.43970000000000004,0.9973301024536703,5.0
3,2016-11-14,26214.777777777777,0.3886666666666667,0.98725364911055,7.222222222222222
4,2016-11-15,44374.0,0.6241,1.0009471547771178,2.0
5,2016-11-16,25855.4,-0.08066000000000002,1.0068900867119757,5.0
6,2016-11-17,21195.0,0.8271,1.0142108591162542,1.0
7,2016-11-18,35014.666666666664,0.6552,1.0104213556429111,3.0
8,2016-11-21,23769.1,0.23882000000000003,1.0209284946783341,4.2
9,2016-11-22,15063.0,0.1597,1.0240290779169672,10.0
10,2016-11-23,27657.0,-0.5429999999999999,1.0198955565087042,1.0
11,2016-11-25,42698.0,0.7688666666666667,1.023167706532361,3.0
12,2016-11-28,25307.375,0.11115625000000001,1.0208427112858227,9.625
13,2016-11-29,19173.727272727272,-0.10031818181818183,1.024373980216758,11.0
14,2016-11-30,14256.636363636364,0.3816818181818182,1.011971647262227,11.0
15,2016-12-01,10026.75,0.555575,0.9944877537574452,4.0
16,2016-12-02,17283.0,0.7568,0.9964687310690644,1.0
17,2016-12-05,17563.75,0.08976,1.0042201891656464,8.3
18,2016-12-06,21109.6,-0.16746,1.006631852169568,5.0
19,2016-12-07,9467.5,0.5488000000000001,1.019378203059018,4.0
20,2016-12-08,11400.0,0.3605,1.0211867292207417,5.0
21,2016-12-09,7933.0,0.5250666666666667,1.029196421859731,3.0
22,2016-12-12,13672.75,0.23535,1.0245455470017821,7.3
23,2016-12-13,13896.0,0.35585,1.0374643490411273,8.0
24,2016-12-14,9145.666666666666,0.5983666666666666,1.0353118049444838,3.0
25,2016-12-15,15929.2,-0.11338,1.0369478799563123,5.0
26,2016-12-16,16895.5,0.34792500000000004,1.0331035458609514,4.0
27,2016-12-19,21822.5,0.23733999999999994,1.0373370004996658,3.8
28,2016-12-20,13067.5,0.4463333333333334,1.041310451866231,6.0
29,2016-12-21,16152.666666666666,0.6264,1.0405330951443945,3.0
30,2016-12-22,15831.4,0.5350199999999999,1.037596119406945,5.0
31,2016-12-23,22027.5,-0.28655,1.0382868083713979,6.0
32,2016-12-27,22751.81818181818,0.2753909090909091,1.0436425220317396,2.8181818181818183
33,2016-12-28,25931.2,0.37694,1.0355222837838436,5.0
34,2016-12-29,11330.0,0.0,1.0340542380975541,1.0
35,2016-12-30,21664.666666666668,0.5400333333333334,1.0234294785342537,3.0
36,2017-01-03,19039.69230769231,0.22334615384615383,1.0325861924112656,7.461538461538462
37,2017-01-04,14993.0,-0.21774000000000004,1.0382001406140144,10.0
38,2017-01-05,17627.166666666668,-0.14831666666666668,1.0440740920889142,6.0
