,date,retweet_count,cmpd,price,num_tweets
402,2018-06-25,20044.8,0.17067,1.344606468769513,20.84
403,2018-06-26,17005.0,0.2040166666666667,1.3462868165345159,12.0
404,2018-06-27,15627.4375,0.5160374999999999,1.3371101970296817,16.0
405,2018-06-28,17221.5,0.07117857142857144,1.342569001503989,14.0
406,2018-06-29,12852.0,0.03708,1.3456381978397456,5.0
407,2018-07-02,21939.761904761905,0.4913571428571429,1.3476213049242132,10.523809523809524
408,2018-07-03,16429.52380952381,0.21118571428571428,1.340283129555929,21.0
409,2018-07-05,24361.11111111111,0.3053777777777778,1.3503690027857915,5.0
410,2018-07-06,26557.8,0.71302,1.3558987332974533,5.0
411,2018-07-09,24375.47619047619,-0.05530952380952384,1.3736460045937766,7.380952380952381
412,2018-07-10,22591.823529411766,0.32195294117647055,1.3815780115778697,17.0
413,2018-07-11,17024.166666666668,0.07037777777777778,1.3694246718025551,18.0
414,2018-07-12,15970.4,0.12829,1.3818679916808796,10.0
415,2018-07-13,13246.666666666666,0.2523,1.3871082798700074,3.0
416,2018-07-16,19886.54054054054,0.013605405405405408,1.3896003213288233,12.35135135135135
417,2018-07-17,20518.4,0.31448,1.3926790424775388,5.0
418,2018-07-18,21086.466666666667,0.5032866666666667,1.397080997434865,15.0
419,2018-07-19,20509.153846153848,-0.08377692307692307,1.3896081163736547,13.0
420,2018-07-20,19746.428571428572,-0.04712142857142855,1.3892543510709445,14.0
421,2018-07-23,26581.291666666668,-0.21709166666666666,1.3884875980836744,8.333333333333334
422,2018-07-24,15994.4375,0.41016250000000004,1.39944559046511,16.0
423,2018-07-25,19189.8,0.4789999999999999,1.4089903678305347,15.0
424,2018-07-26,19102.727272727272,0.585318181818182,1.4152536087343,11.0
425,2018-07-27,18318.1875,0.34986875000000006,1.4110395276633056,16.0
426,2018-07-30,19293.484848484848,0.2845333333333333,1.4030432087872933,15.06060606060606
427,2018-07-31,16903.21052631579,0.3877894736842105,1.4090507932882952,19.0
428,2018-08-01,17208.46153846154,0.1033769230769231,1.4045395801883804,13.0
429,2018-08-02,18400.69230769231,0.38177692307692307,1.404114894392444,13.0
430,2018-08-03,15902.0,0.5517888888888889,1.4116781891030858,9.0
431,2018-08-06,17391.608695652172,0.15939347826086958,1.4138736418575848,17.347826086956523
432,2018-08-07,22318.75,0.360625,1.4208997437703341,4.0
433,2018-08-08,20332.375,0.9031499999999999,1.4183960042001433,8.0
434,2018-08-09,24206.5,0.021866666666666645,1.4142645472778783,6.0
435,2018-08-10,28254.5,0.641275,1.4033930710234586,8.0
436,2018-08-13,21326.785714285714,0.025717857142857143,1.396438438472669,10.785714285714286
437,2018-08-14,18246.0,-0.18973124999999996,1.4026600984118314,16.0
438,2018-08-15,14667.0,0.49073125,1.3950363837875568,16.0
439,2018-08-16,23303.29411764706,0.24195882352941175,1.4170088909416452,17.0
440,2018-08-17,18651.352941176472,0.1750764705882353,1.4231401316872476,17.0
441,2018-08-20,22909.0,-0.3398333333333333,1.4280948750762557,9.962962962962964
442,2018-08-21,18592.53846153846,0.30738461538461537,1.4316209186980373,13.0
443,2018-08-22,20475.222222222223,0.4134111111111112,1.4267038587512153,9.0
444,2018-08-23,18850.7,0.14442,1.4224559973045776,10.0
445,2018-08-24,22497.333333333332,0.23797500000000002,1.4298501517394742,12.0
446,2018-08-27,25031.322580645163,0.3385677419354838,1.4442255782631486,10.741935483870968
447,2018-08-28,21179.125,-0.33758750000000004,1.4450227629723793,8.0
448,2018-08-29,20880.869565217392,0.1135521739130435,1.4483797772009865,23.0
449,2018-08-30,20558.722222222223,-0.24271111111111113,1.4407482619877532,18.0
450,2018-08-31,23652.25,0.17335,1.4395230317406462,4.0
451,2018-09-04,19236.30188679245,0.03244716981132075,1.4388388973579767,13.679245283018869
452,2018-09-05,20419.0,-0.08096428571428572,1.440086864076528,14.0
453,2018-09-06,25392.25,0.4044,1.4412444171456475,8.0
454,2018-09-07,21258.0,0.3788666666666667,1.4368462599164222,9.0
455,2018-09-10,19388.565217391304,0.31446956521739117,1.4335492331594164,16.73913043478261
456,2018-09-11,17478.454545454544,0.24130909090909095,1.4398689964543967,11.0
457,2018-09-12,17376.363636363636,0.09758181818181816,1.4414135574213935,11.0
458,2018-09-13,17513.666666666668,0.03618666666666665,1.449567324005906,15.0
459,2018-09-14,8156.0,0.027346428571428546,1.4500485377371881,28.0
460,2018-09-17,12177.867924528302,0.22453207547169804,1.4449174023522038,21.641509433962263
